Category,Question,Answer
Constitution,Care este forma de guvernământ a României?,"Forma de guvernământ a statului român este republica. Cetățenii români dețin și exercită puterea suverană prin reprezentanții aleși, respectiv parlamentari și președinte. România este republică semi-prezidențială. Atât Președintele, cât și Prim-ministrul participă activ în administrația statului."
Constitution,Care sunt trăsăturile statului român?,"Principalele trăsături ale statului român sunt: „stat național, suveran și independent, unitar și indivizibil”, la care se adaugă următoarele trăsături: „stat de drept, democratic și social”."
Constitution,Ce înseamnă noțiunea de pluralism politic?,"Noțiunea de pluralism politic reprezintă un principiu democratic, ce oferă cetățenilor garantarea reprezentării intereselor prin recunoașterea asocierii între aceștia, în vederea promovării unei viziuni ideologice și economice comune."
Constitution,Ce înseamnă că România este un stat indivizibil?,"Noțiunea de stat indivizibil se referă la toate elementele constitutive ale statului, respectiv, teritoriu, populație, suveranitate. Niciunul dintre acestea nu poate fi divizat sau pus sub autoritatea altor state."
Constitution,Care sunt cele trei puteri în stat?,"Ca model de separare a puterilor în stat, puterea în România este împărțită între puterea legislativă, puterea executivă și puterea judecătorească."
Constitution,Care este puterea legislativă?,"Puterea legislativă este reprezentată de Parlament, unica autoritate legiuitoare, care elaborează și adoptă legi destinate reglementării relațiilor sociale."
Constitution,Care este puterea executivă?,Puterea executivă este împărțită între Guvern și Șeful Statului (Președinte). Guvernul implementează legile adoptate de Parlament și se ocupă cu administrarea birocrației de stat.
Constitution,Care este puterea judecătorească?,Puterea judecătorească este reprezentată de organele judiciare și constă în activitatea de soluționare a litigiilor apărute în societate prin pronunțarea de hotărâri judecătorești.
Constitution,Ce știți despre Parlamentul României?,"Parlamentul României este unica autoritate legiuitoare și organul reprezentativ suprem, fiind ales prin vot universal, egal, direct, secret și liber exprimat, potrivit legii electorale. Parlamentul este bicameral, fiind format din Senat și Camera Deputaților. Ambele camere au mandate de câte 4 ani."
Constitution,Ce tipuri de legi emite Parlamentul României?,"Parlamentul adoptă legi constituționale, legi organice și legi ordinare. - Legile constituționale se referă la Constituție și modificarea acesteia. - Legile organice se referă la anumite domenii de importanță majoră cum ar fi sistemul electoral (lista completă se poate regăsi in Articolul 73 alineatul (3) din Constituție). - Legile ordinare reglementează toate celelalte domenii neacoperite de legea organică."
Constitution,Ce tipuri de acte emite Guvernul României?,"Guvernul adoptă hotărâri și ordonanțe (simple și de urgență): - Hotărârile stabilesc modul în care legile vor fi efectiv puse în aplicare sau alte aspecte organizatorice privind implementarea acestora. - Ordonanțele simple sunt emise în baza unei legi speciale de abilitare. - Ordonanțele de urgență sunt emise în situații extraordinare, când Guvernul consideră necesar."
Constitution,Ce știți despre hotărârile de Guvern?,Hotărârile de Guvern stabilesc modul în care legile vor fi efectiv puse în aplicare sau alte aspecte organizatorice privind implementarea acestora.
Constitution,Ce tipuri de acte emite Președintele României?,Președintele României emite decrete care se publică în Monitorul Oficial al României.
Constitution,Cum este organizat teritoriul României?,"Teritoriul României este organizat în unități administrativ-teritoriale, respectiv comune, orașe și județe. În condițiile legii, unele orașe sunt declarate municipii."
Constitution,Care este capitala României?,Capitala României este București.
Constitution,Cum se pot asocia cetățenii români?,"Cetățenii se pot asocia liber în sindicate, patronate şi în alte forme de asociere."
Constitution,Asociațiile cu caracter secret sunt permise în România?,Asociațiile cu caracter secret sunt interzise.
Constitution,Care este limba oficială a României?,Limba oficială este limba română.
Constitution,Ce drepturi au minoritățile naționale?,"Minoritățile naționale au dreptul la păstrarea, dezvoltarea şi exprimarea identităţii lor etnice, culturale, lingvistice şi religioase."
Constitution,Ce prevede Constituția despre românii din străinătate?,"Statul român sprijină întărirea legăturilor cu românii din străinatate şi acţionează pentru păstrarea, dezvoltarea şi exprimarea identităţii lor etnice, culturale, lingvistice şi religioase, cu respectarea legislaţiei statului în care aceştia se află."
Constitution,Ce sunt sindicatele?,"Un sindicat este o organizație a muncitorilor, al cărei scop este protejarea drepturilor acestora. Sindicatele contribuie la apărarea drepturilor şi la promovarea intereselor profesionale, economice şi sociale ale salariaţilor. Sindicatele se constituie şi îşi desfăşoară activitatea potrivit cu statutele lor, în condiţiile legii."
Constitution,Ce sunt patronatele?,"Patronatele sunt organizații ale angajatorilor, autonome, fără caracter politic și fără scop patrimonial, înfiinţate în scopul apărării și promovării drepturilor și intereselor comune ale membrilor lor."
Constitution,Care sunt simbolurile naționale ale României?,Simbolurile naționale ale României sunt: - drapelul tricolor - ziua națională de 1 Decembrie - imnul național „Deșteaptă-te române” - stema națională - sigiliul național
Constitution,Ce știți despre extrădare?,"Cetățeanul român nu poate fi extrădat din România, cu excepţia, cetăţenilor români ce pot fi extrădaţi în baza convenţiilor internaţionale la care România este parte, în condiţiile legii şi pe bază de reciprocitate. În ceea ce privește străinii sau apatrizii, aceștia pot fi extrădați doar în baza unei convenții internaționale sau pe bază de reciprocitate. Extrădarea se hotărăște în justiție."
Constitution,Ce știți despre expulzare?,"Ca regulă generală, cetățeanul român nu poate fi expulzat din România, cu excepţia, cetăţenilor români ce pot fi expulzați în baza convenţiilor internaţionale la care România este parte, în condiţiile legii şi pe bază de reciprocitate. În ceea ce privește străinii sau apatrizii, aceștia pot fi expulzați doar în baza unei convenții internaționale sau pe bază de reciprocitate. Expulzarea se hotărăște în justiție."
Constitution,Ce știți despre accesul liber la justiție?,"Accesul liber la justiție constă în faptul că orice persoană se poate adresa justiției pentru apărarea drepturilor, a libertăţilor şi a intereselor sale legitime, fiind un drept fundamental. Constituţia prevede că părţile au dreptul la un proces echitabil şi la soluţionarea cauzelor într-un termen rezonabil. De asemenea, nicio lege nu poate îngrădi accesul liber la justiție."
Constitution,Tortura este permisă în România?,"Constituția garantează dreptul la viață, precum şi dreptul la integritate fizică şi psihică ale persoanei. Astfel, tortura și orice pedeapsă sau tratament inuman sau degradant sunt interzise."
Constitution,Pedeapsa cu moartea este permisă în România?,Pedeapsa cu moartea este interzisă în România.
Constitution,Care sunt drepturile cetățenilor români?,"Cetățenii români au următoarele drepturi: - egalitatea în drepturi - protecția statului român în străinătate - accesul liber la justiție - dreptul la viață și integritate fizică și psihică - libertatea individuală - dreptul la apărare - libera circulație - dreptul la viață intimă, familială și privată - dreptul la inviolabilitatea domiciliului - dreptul la secretul corespondenței - dreptul la liberă exprimare - dreptul la informație - dreptul la învățătură - accesul la cultură - dreptul la ocrotirea sănătății - dreptul la mediul sănătos - dreptul de vot și dreptul de a fi ales - dreptul la libertatea întrunirilor - dreptul de asociere - dreptul la muncă și protecția socială a muncii - dreptul la grevă - dreptul de proprietate privată - dreptul la moștenire"
Constitution,Ce știți despre libertatea individuală?,"Libertatea individuală și siguranța persoanei sunt inviolabile. Acest drept fundamental vizează libertatea fizică a persoanei și dreptul acesteia de a se comporta liber, neținut de vreo restricție."
Constitution,Cât poate dura reținerea unei personae?,Reținerea nu poate dura mai mult de 24 de ore.
Constitution,Ce știți despre arestarea preventivă?,"Arestarea preventivă se poate dispune de judecător numai în cursul procesului penal. De asemenea, arestarea preventivă se poate dispune în timpul urmăririi penale pentru cel mult 30 de zile şi se poate prelungi cu câte cel mult 30 de zile, fără ca durata totală să depăşească un termen rezonabil."
Constitution,Ce înseamnă că persoană beneficiază de prezumția de nevinovăție?,"Prezumția de nevinovăție este principiul potrivit căruia, până la rămânerea definitivă a hotărârii judecătorești de condamnare, persoana este considerată nevinovată."
Constitution,Ce știți despre dreptul la apărare?,"Dreptul la apărare este garantat, părțile având dreptul să fie asistate de un avocat, ales sau numit din oficiu, pe toată durata procesului."
Constitution,Ce știți despre libera circulație?,"Dreptul la liberă circulație, atât în țară cât și în afara țării, este garantat. Astfel, fiecăre cetățean își poate stabili domiciliul sau reşedinţa în orice localitate din ţară, de a emigra, precum şi de a reveni în ţară."
Constitution,Ce știți despre secretul corespondenței?,"Secretul corespondenței, adică al scrisorilor, al telegramelor, al altor trimiteri poştale, al convorbirilor telefonice şi al celorlalte mijloace legale de comunicare este inviolabil."
